ds,sku_id,yhat,yhat_lower,yhat_upper
2016-11-24,Product_0033,16628.0,0.0,48395.0
2016-11-25,Product_0033,12086.0,0.0,40874.0
2016-11-26,Product_0033,13906.0,0.0,45013.0
2016-11-27,Product_0033,14921.0,0.0,47264.0
2016-11-28,Product_0033,18385.0,0.0,50016.0
2016-11-29,Product_0033,9134.0,0.0,39931.0
2016-11-30,Product_0033,8884.0,0.0,40493.0
2016-12-01,Product_0033,15044.0,0.0,45932.0
2016-12-02,Product_0033,10272.0,0.0,42163.0
2016-12-03,Product_0033,11831.0,0.0,43008.0
2016-12-04,Product_0033,12629.0,0.0,42290.0
2016-12-05,Product_0033,15893.0,0.0,44589.0
2016-12-06,Product_0033,6611.0,0.0,37726.0
2016-12-07,Product_0033,6287.0,0.0,37806.0
2016-12-08,Product_0033,12357.0,0.0,43276.0
2016-12-09,Product_0033,7651.0,0.0,40843.0
2016-12-10,Product_0033,9260.0,0.0,40833.0
2016-12-11,Product_0033,10162.0,0.0,42785.0
2016-12-12,Product_0033,13548.0,0.0,43943.0
2016-12-13,Product_0033,4552.0,0.0,33351.0
2016-12-14,Product_0033,4460.0,0.0,35799.0
2016-12-15,Product_0033,10728.0,0.0,44676.0
2016-12-16,Product_0033,6352.0,0.0,36890.0
2016-12-17,Product_0033,8246.0,0.0,38589.0
2016-12-18,Product_0033,9451.0,0.0,43132.0
2016-12-19,Product_0033,13119.0,0.0,43793.0
2016-12-20,Product_0033,4529.0,0.0,36900.0
2016-12-21,Product_0033,4744.0,0.0,35080.0
2016-12-22,Product_0033,11238.0,0.0,44031.0
2016-12-23,Product_0033,7174.0,0.0,38976.0
2016-11-23,Product_0063,17314.0,0.0,38926.0
2016-11-24,Product_0063,15549.0,0.0,38332.0
2016-11-25,Product_0063,14660.0,0.0,36646.0
2016-11-26,Product_0063,1581.0,0.0,26349.0
2016-11-27,Product_0063,89.0,0.0,23527.0
2016-11-28,Product_0063,11474.0,0.0,32929.0
2016-11-29,Product_0063,8566.0,0.0,31782.0
2016-11-30,Product_0063,9917.0,0.0,31896.0
2016-12-01,Product_0063,7680.0,0.0,29210.0
2016-12-02,Product_0063,6666.0,0.0,30099.0
2016-12-03,Product_0063,0.0,0.0,14805.0
2016-12-04,Product_0063,0.0,0.0,11407.0
2016-12-05,Product_0063,3734.0,0.0,27047.0
2016-12-06,Product_0063,756.0,0.0,24205.0
2016-12-07,Product_0063,2971.0,0.0,24079.0
2016-12-08,Product_0063,969.0,0.0,23868.0
2016-12-09,Product_0063,489.0,0.0,23477.0
2016-12-10,Product_0063,0.0,0.0,6092.0
2016-12-11,Product_0063,0.0,0.0,5130.0
2016-12-12,Product_0063,0.0,0.0,22203.0
2016-12-13,Product_0063,0.0,0.0,20395.0
2016-12-14,Product_0063,173.0,0.0,23227.0
2016-12-15,Product_0063,0.0,0.0,23578.0
2016-12-16,Product_0063,0.0,0.0,20265.0
2016-12-17,Product_0063,0.0,0.0,1969.0
2016-12-18,Product_0063,0.0,0.0,1803.0
2016-12-19,Product_0063,0.0,0.0,23227.0
2016-12-20,Product_0063,0.0,0.0,21753.0
